0.000000  1.000005  
0.851802  -0.773361  
0.652520  -0.458256  
0.823422  -0.460092  
0.618412  -0.124475  
0.453806  -0.124205  
0.409318  0.242109  
0.257743  0.242171  
0.082898  0.669659  
0.182276  0.669402  
0.208205  0.490651  
0.063926  0.689696  
0.217259  0.422284  
0.200446  0.554755  
0.189615  0.625343  
0.194380  0.593307  
0.224432  0.382621  
0.227377  0.357610  
0.052848  0.718207  
0.004764  0.930285  
0.414213  0.177884  
0.018659  0.853128  
0.420137  0.110416  
0.219555  0.411698  
0.025598  0.828168  
0.186410  0.651598  
0.015881  0.866874  
0.424336  0.061002  
0.836708  -0.676258  
0.198591  0.570064  
0.640319  -0.405397  
0.002220  0.952741  
0.251445  0.249418  
0.416902  0.147653  
0.231010  0.328270  
0.036126  0.777200  
0.411268  0.223689  
0.637946  -0.375265  
0.237619  0.292679  
0.825011  -0.491864  
0.626764  -0.258731  
0.245658  0.266723  
0.008416  0.906079  
0.040260  0.761019  
0.241871  0.274181  
0.011155  0.890570  
0.623025  -0.195622  
0.440695  -0.084048  
0.840713  -0.721997  
0.828242  -0.548945  
0.629004  -0.290109  
0.235779  0.307566  
0.846749  -0.762114  
0.647070  -0.445849  
0.443319  -0.098928  
0.047782  0.741667  
0.026974  0.816134  
0.032523  0.791959  
0.838563  -0.700708  
0.032197  0.805385  
0.823855  -0.468467  
0.044687  0.752262  
0.642179  -0.417258  
0.049953  0.726568  
0.437906  -0.068415  
0.835492  -0.655701  
0.418108  0.132256  
0.232531  0.319587  
0.431874  -0.020885  
0.829129  -0.567595  
0.421749  0.084327  
0.625859  -0.238398  
0.624005  -0.217163  
0.000513  0.977350  
0.425980  0.041102  
0.827694  -0.531078  
0.829921  -0.575824  
0.421796  0.084220  
0.412628  0.202307  
0.619268  -0.139083  
0.000766  0.972456  
0.833766  -0.637482  
0.412628  0.198210  
0.635249  -0.359044  
0.844625  -0.737593  
0.182956  0.665735  
0.445923  -0.110026  
0.832471  -0.618510  
0.840350  -0.704769  
0.845244  -0.749604  
0.644133  -0.432408  
0.433681  -0.036454  
0.448946  -0.113467  
0.830941  -0.597885  
0.830828  -0.592796  
0.832214  -0.614510  
0.826660  -0.523361  
0.435963  -0.049152  
0.635674  -0.368569  
0.629989  -0.303254  
